epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9290759563446045,0.22517426311969757,2e-05,0.890514612197876,0.354907363653183
1,0.9475277662277222,0.1692497730255127,2e-05,0.888496458530426,0.36642026901245117
2,0.9602133631706238,0.12730027735233307,2e-05,0.8935418725013733,0.36541250348091125
3,0.9727547764778137,0.08940937370061874,2e-05,0.894046425819397,0.3770551085472107
4,0.9814040660858154,0.06704698503017426,2e-05,0.892028272151947,0.3937472701072693
5,0.9883235096931458,0.05115291103720665,2e-05,0.8980827331542969,0.40716004371643066
6,0.9904857873916626,0.038070619106292725,2e-05,0.8965691328048706,0.4210187494754791
7,0.9900533556938171,0.030819324776530266,2e-05,0.8980827331542969,0.42773401737213135
8,0.9939455389976501,0.024053212255239487,2e-05,0.8970736861228943,0.4373804032802582
9,0.9969727396965027,0.016415352001786232,4e-06,0.9006054401397705,0.42573246359825134
10,0.9971169233322144,0.014506887644529343,4e-06,0.9001008868217468,0.43009889125823975
11,0.9982701539993286,0.012258940376341343,4e-06,0.9001008868217468,0.4308719336986542
12,0.9978376626968384,0.013804652728140354,4e-06,0.9046417474746704,0.4352922737598419
13,0.99798184633255,0.011454039253294468,4e-06,0.9041372537612915,0.4397203326225281
14,0.9982701539993286,0.010551448911428452,4e-06,0.8985872864723206,0.4451572299003601
15,0.9981259703636169,0.009581959806382656,4e-06,0.9006054401397705,0.4532572329044342
16,0.9984142780303955,0.009050299413502216,8e-07,0.8990918397903442,0.45039045810699463
17,0.9987025856971741,0.008636296726763248,8e-07,0.9001008868217468,0.44926717877388
18,0.9982701539993286,0.009113486856222153,8e-07,0.9011099934577942,0.4484795033931732
19,0.9985584616661072,0.008393450640141964,1.6e-07,0.9011099934577942,0.4492841958999634
