epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7294372320175171,0.9598397016525269,0.001,0.8383838534355164,0.5668983459472656
1,0.8402597308158875,0.5264126062393188,0.001,0.8560606241226196,0.4781109094619751
2,0.8559884428977966,0.46013015508651733,0.001,0.8606060743331909,0.441246896982193
3,0.8643578886985779,0.4252765476703644,0.001,0.8661616444587708,0.423698365688324
4,0.8725829720497131,0.3922276198863983,0.001,0.8712121248245239,0.41172176599502563
5,0.8845598697662354,0.3644396960735321,0.001,0.8732323050498962,0.4037971794605255
6,0.8858585953712463,0.3596518337726593,0.001,0.8722222447395325,0.3998441696166992
7,0.8937950730323792,0.3396228849887848,0.001,0.8732323050498962,0.3973115384578705
8,0.894372284412384,0.32639414072036743,0.001,0.8717171549797058,0.3947177529335022
9,0.9067820906639099,0.3024066388607025,0.00020000001,0.879292905330658,0.3884284496307373
10,0.9014430046081543,0.30455803871154785,0.00020000001,0.8772727251052856,0.38863396644592285
11,0.9043290019035339,0.29852303862571716,0.00020000001,0.8777777552604675,0.3871709108352661
12,0.9070706963539124,0.3008688688278198,0.00020000001,0.8742424249649048,0.38677266240119934
13,0.90505051612854,0.29935359954833984,4.0000003e-05,0.8752525448799133,0.386320024728775
14,0.9089466333389282,0.29243385791778564,4.0000003e-05,0.8737373948097229,0.3863677680492401
15,0.9069263935089111,0.2960570454597473,4.0000003e-05,0.8757575750350952,0.3861965239048004
16,0.9101009964942932,0.2897725999355316,8.000001e-06,0.8757575750350952,0.38619059324264526
17,0.9072149991989136,0.29188987612724304,8.000001e-06,0.8757575750350952,0.38620680570602417
18,0.9023088216781616,0.29956600069999695,8.000001e-06,0.8757575750350952,0.38621991872787476
19,0.9073593020439148,0.29406988620758057,1.6000001e-06,0.8757575750350952,0.3862307071685791
